z(x,y): x means the number of depth; y means the minimal records to stop splitting.
z(3,5)=61.0390
z(3,6)=61.0390
z(3,7)=61.0390
z(3,8)=61.0390
z(3,9)=61.0390
z(3,10)=61.0390
z(3,11)=61.0390
z(3,12)=61.0390
z(3,13)=61.0390
z(3,14)=61.0390
z(3,15)=61.0390
z(3,16)=61.0390
z(3,17)=61.0390
z(3,18)=61.0390
z(3,19)=61.0390
z(3,20)=61.0390
z(3,21)=61.0390
z(3,22)=61.0390
z(3,23)=61.0390
z(3,24)=61.0390
z(3,25)=61.0390
z(3,26)=61.0390
z(3,27)=61.0390
z(3,28)=61.0390
z(3,29)=61.0390
z(4,5)=63.6364
z(4,6)=63.6364
z(4,7)=63.6364
z(4,8)=63.6364
z(4,9)=63.6364
z(4,10)=63.6364
z(4,11)=63.6364
z(4,12)=63.6364
z(4,13)=63.6364
z(4,14)=63.6364
z(4,15)=63.6364
z(4,16)=63.6364
z(4,17)=63.6364
z(4,18)=63.6364
z(4,19)=63.6364
z(4,20)=63.6364
z(4,21)=63.6364
z(4,22)=63.6364
z(4,23)=63.6364
z(4,24)=63.6364
z(4,25)=63.6364
z(4,26)=63.6364
z(4,27)=63.6364
z(4,28)=63.6364
z(4,29)=63.6364
z(5,5)=64.0693
z(5,6)=64.0693
z(5,7)=64.0693
z(5,8)=64.0693
z(5,9)=64.0693
z(5,10)=64.0693
z(5,11)=63.6364
z(5,12)=63.6364
z(5,13)=62.7706
z(5,14)=62.7706
z(5,15)=62.7706
z(5,16)=62.7706
z(5,17)=63.2035
z(5,18)=63.2035
z(5,19)=63.2035
z(5,20)=63.2035
z(5,21)=63.2035
z(5,22)=63.2035
z(5,23)=63.2035
z(5,24)=63.2035
z(5,25)=63.2035
z(5,26)=63.2035
z(5,27)=63.2035
z(5,28)=63.2035
z(5,29)=63.2035
z(6,5)=63.6364
z(6,6)=63.6364
z(6,7)=63.6364
z(6,8)=63.6364
z(6,9)=63.6364
z(6,10)=63.6364
z(6,11)=63.2035
z(6,12)=63.2035
z(6,13)=62.3377
z(6,14)=63.2035
z(6,15)=63.2035
z(6,16)=63.2035
z(6,17)=63.6364
z(6,18)=63.6364
z(6,19)=63.6364
z(6,20)=63.6364
z(6,21)=63.6364
z(6,22)=63.6364
z(6,23)=62.7706
z(6,24)=62.3377
z(6,25)=62.3377
z(6,26)=62.3377
z(6,27)=62.3377
z(6,28)=61.9048
z(6,29)=61.9048
z(7,5)=62.3377
z(7,6)=62.3377
z(7,7)=62.3377
z(7,8)=62.3377
z(7,9)=62.3377
z(7,10)=62.7706
z(7,11)=62.3377
z(7,12)=62.3377
z(7,13)=61.4719
z(7,14)=62.3377
z(7,15)=62.3377
z(7,16)=62.3377
z(7,17)=62.7706
z(7,18)=62.7706
z(7,19)=62.7706
z(7,20)=62.7706
z(7,21)=62.7706
z(7,22)=62.7706
z(7,23)=61.9048
z(7,24)=61.4719
z(7,25)=61.4719
z(7,26)=61.4719
z(7,27)=61.4719
z(7,28)=61.0390
z(7,29)=61.0390
z(8,5)=62.7706
z(8,6)=62.3377
z(8,7)=62.3377
z(8,8)=62.3377
z(8,9)=62.3377
z(8,10)=62.7706
z(8,11)=62.3377
z(8,12)=62.3377
z(8,13)=61.4719
z(8,14)=62.3377
z(8,15)=63.2035
z(8,16)=63.2035
z(8,17)=63.6364
z(8,18)=63.6364
z(8,19)=63.6364
z(8,20)=63.6364
z(8,21)=63.6364
z(8,22)=63.6364
z(8,23)=62.7706
z(8,24)=62.3377
z(8,25)=62.3377
z(8,26)=62.3377
z(8,27)=62.3377
z(8,28)=61.9048
z(8,29)=61.9048
z(9,5)=61.0390
z(9,6)=60.6061
z(9,7)=60.1732
z(9,8)=60.1732
z(9,9)=60.1732
z(9,10)=60.6061
z(9,11)=60.1732
z(9,12)=60.1732
z(9,13)=59.3074
z(9,14)=60.1732
z(9,15)=61.0390
z(9,16)=61.0390
z(9,17)=61.4719
z(9,18)=61.4719
z(9,19)=61.4719
z(9,20)=61.4719
z(9,21)=61.4719
z(9,22)=61.4719
z(9,23)=60.6061
z(9,24)=60.1732
z(9,25)=60.1732
z(9,26)=60.1732
z(9,27)=60.1732
z(9,28)=59.7403
z(9,29)=59.7403
z(10,5)=61.4719
z(10,6)=61.0390
z(10,7)=60.6061
z(10,8)=60.6061
z(10,9)=60.6061
z(10,10)=61.0390
z(10,11)=60.6061
z(10,12)=60.6061
z(10,13)=59.7403
z(10,14)=60.6061
z(10,15)=61.4719
z(10,16)=61.4719
z(10,17)=61.9048
z(10,18)=61.9048
z(10,19)=61.9048
z(10,20)=61.9048
z(10,21)=61.9048
z(10,22)=61.9048
z(10,23)=61.0390
z(10,24)=60.6061
z(10,25)=60.6061
z(10,26)=60.6061
z(10,27)=61.0390
z(10,28)=60.6061
z(10,29)=60.6061
z(11,5)=61.4719
z(11,6)=61.0390
z(11,7)=60.6061
z(11,8)=60.6061
z(11,9)=60.6061
z(11,10)=61.0390
z(11,11)=60.6061
z(11,12)=60.6061
z(11,13)=59.7403
z(11,14)=60.6061
z(11,15)=61.4719
z(11,16)=61.4719
z(11,17)=61.9048
z(11,18)=61.9048
z(11,19)=61.9048
z(11,20)=61.9048
z(11,21)=61.9048
z(11,22)=61.9048
z(11,23)=61.0390
z(11,24)=60.6061
z(11,25)=61.0390
z(11,26)=61.0390
z(11,27)=61.4719
z(11,28)=61.0390
z(11,29)=61.0390
z(12,5)=61.0390
z(12,6)=61.0390
z(12,7)=60.6061
z(12,8)=60.6061
z(12,9)=60.1732
z(12,10)=60.6061
z(12,11)=60.1732
z(12,12)=60.1732
z(12,13)=59.3074
z(12,14)=60.1732
z(12,15)=61.0390
z(12,16)=61.0390
z(12,17)=61.4719
z(12,18)=61.4719
z(12,19)=61.4719
z(12,20)=61.4719
z(12,21)=61.4719
z(12,22)=61.4719
z(12,23)=60.6061
z(12,24)=60.1732
z(12,25)=60.6061
z(12,26)=60.6061
z(12,27)=60.6061
z(12,28)=60.1732
z(12,29)=60.1732
z(13,5)=61.0390
z(13,6)=61.0390
z(13,7)=60.6061
z(13,8)=60.6061
z(13,9)=60.1732
z(13,10)=60.6061
z(13,11)=60.1732
z(13,12)=60.1732
z(13,13)=59.3074
z(13,14)=60.1732
z(13,15)=61.0390
z(13,16)=61.0390
z(13,17)=61.4719
z(13,18)=61.4719
z(13,19)=61.4719
z(13,20)=61.4719
z(13,21)=61.4719
z(13,22)=60.6061
z(13,23)=59.7403
z(13,24)=59.3074
z(13,25)=59.7403
z(13,26)=59.7403
z(13,27)=59.7403
z(13,28)=59.3074
z(13,29)=59.3074
z(14,5)=60.1732
z(14,6)=60.1732
z(14,7)=59.7403
z(14,8)=59.7403
z(14,9)=59.3074
z(14,10)=59.7403
z(14,11)=59.3074
z(14,12)=59.3074
z(14,13)=58.8745
z(14,14)=59.7403
z(14,15)=60.6061
z(14,16)=60.6061
z(14,17)=61.9048
z(14,18)=61.9048
z(14,19)=61.9048
z(14,20)=61.9048
z(14,21)=61.9048
z(14,22)=61.0390
z(14,23)=60.1732
z(14,24)=59.7403
z(14,25)=59.7403
z(14,26)=59.7403
z(14,27)=59.7403
z(14,28)=59.3074
z(14,29)=59.3074
z(15,5)=59.7403
z(15,6)=59.7403
z(15,7)=59.7403
z(15,8)=59.7403
z(15,9)=59.3074
z(15,10)=59.7403
z(15,11)=59.3074
z(15,12)=59.3074
z(15,13)=58.8745
z(15,14)=59.7403
z(15,15)=60.6061
z(15,16)=60.6061
z(15,17)=61.9048
z(15,18)=61.9048
z(15,19)=61.9048
z(15,20)=61.9048
z(15,21)=61.9048
z(15,22)=61.0390
z(15,23)=60.1732
z(15,24)=59.7403
z(15,25)=59.7403
z(15,26)=59.7403
z(15,27)=59.7403
z(15,28)=59.3074
z(15,29)=59.3074
z(16,5)=60.6061
z(16,6)=60.6061
z(16,7)=60.6061
z(16,8)=60.6061
z(16,9)=60.1732
z(16,10)=60.6061
z(16,11)=60.1732
z(16,12)=60.1732
z(16,13)=59.7403
z(16,14)=60.6061
z(16,15)=61.4719
z(16,16)=61.4719
z(16,17)=62.7706
z(16,18)=62.7706
z(16,19)=62.7706
z(16,20)=62.7706
z(16,21)=61.9048
z(16,22)=61.0390
z(16,23)=60.1732
z(16,24)=59.7403
z(16,25)=59.7403
z(16,26)=59.7403
z(16,27)=59.7403
z(16,28)=59.3074
z(16,29)=59.3074
z(17,5)=59.7403
z(17,6)=59.7403
z(17,7)=60.6061
z(17,8)=60.6061
z(17,9)=60.1732
z(17,10)=60.6061
z(17,11)=60.1732
z(17,12)=60.1732
z(17,13)=59.7403
z(17,14)=60.6061
z(17,15)=61.4719
z(17,16)=61.4719
z(17,17)=62.7706
z(17,18)=62.7706
z(17,19)=62.7706
z(17,20)=62.7706
z(17,21)=61.9048
z(17,22)=61.0390
z(17,23)=60.1732
z(17,24)=59.7403
z(17,25)=59.7403
z(17,26)=59.7403
z(17,27)=59.7403
z(17,28)=59.3074
z(17,29)=59.3074
z(18,5)=59.7403
z(18,6)=59.7403
z(18,7)=60.6061
z(18,8)=60.6061
z(18,9)=60.1732
z(18,10)=60.6061
z(18,11)=60.1732
z(18,12)=60.1732
z(18,13)=59.7403
z(18,14)=60.6061
z(18,15)=61.4719
z(18,16)=61.4719
z(18,17)=62.7706
z(18,18)=62.7706
z(18,19)=62.7706
z(18,20)=62.7706
